species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm
nariniensis,90-3063,spiral_to_distichous,pendent,yellow,musa,4.279999999999999,47.6,13,6.8,4.4,30.4,151
venusta,90-3108,distichous,erect,yellow_green,canna,3.6999999999999997,15.333333333333334,5.083333333333333,4.833333333333333,2.2083333333333335,7.916666666666667,41.166666666666664
aff.,91-3363,distichous,erect,white_green,musa,3.9799999999999995,34.6,11,5,3.2,21.7,97.2
terciopela,90-3133,spiral,pendent,orange_yellow_white,musa,4.55,50,18.5,8,3.5,35.5,116.5
aurea,91-3191,distichous,erect,white_green,musa,4.819999999999999,38.4,6.8,5.4,3.7,28.2,176
marginata,96-5710,spiral,pendent,yellow,musa,2.746666666666667,16.933333333333334,6.133333333333334,5.266666666666667,2.7,11.033333333333333,47.46666666666667
oleosa,91-3379,spiral,pendent,yellow,musa,2.966666666666667,33,8,3,2.9166666666666665,13,125
estherae,95-3562B,distichous,erect,orange_yellow,musa,1.55,9.25,4,2.25,0.9874999999999999,11.25,25.75
penduloides,91-3216,spiral,pendent,yellow,0,0,0,0,0,2,0,0
maculata,80-1240C,spiral_to_distichous,pendent,yellow_green,musa,3.75,34.25,5.75,4,2.0125,18.5,92
julianii,91-3360,distichous,erect,0,0,0,0,0,0,1.875,0,0
standleyi,96-5712,distichous,pendent,white_green,musa,2.06,15.4,5.6,2.6,4.9,13.8,64
schumanniana,96-5725,distichous,erect,orange_yellow,zingiber,1.0666666666666667,7.416666666666667,3.5,1.8333333333333333,2.283333333333333,5.233333333333333,13.416666666666666
lourteigiae,94-5250,distichous,erect,pink_red_white,musa,2.175,12.375,2.75,1.875,4.324999999999999,9.5,23.25
lozanoi,91-3373,spiral_to_distichous,pendent,yellow,musa,1.6666666666666667,16.666666666666668,5,3.3333333333333335,3.5,10.666666666666666,60
beckneri,92-3482,spiral,erect,green,musa,5.63,30.15,8.3,6.4,2.8,26.439999999999998,101.7
lankesteri,92-3495B,distichous,erect,yellow_green,musa,3.973333333333333,21.62,9,5.633333333333334,2.6666666666666665,20.233333333333334,81.93333333333334
pardoi,94-5305,distichous,erect,yellow_green,zingiber,2.275,11,4.5,2.5,1.6,6.25,29.25
umbrophila,79-1099,distichous,erect,yellow,musa,2.5,5,2,3.5,2,8.5,44.5
irrasa,94-4504,spiral,erect,yellow,musa,3.07,12.3,3.7,2.1,1.575,9.3,40.7
thomasiana,83-1612,spiral,erect,orange_yellow_white,musa,4.3,10.3,2.6,3.2,1.7399999999999998,8.1,25.8
mincana,92-3552,spiral,erect,yellow_green,musa,4.166666666666667,22.333333333333332,4.666666666666667,3.6666666666666665,2.3333333333333335,21.666666666666668,91.66666666666667
meridensis,91-3212,spiral,erect,yellow_green,musa_canna,2.6999999999999997,21.666666666666668,5.333333333333333,3.6666666666666665,2.8333333333333335,24.333333333333332,88.33333333333333
